user_id,session_id,timestamp_start,duration,num_actions,uniq_resources,num_file_open,num_file_delete,external_drive_use,night_activity,weekend_activity,web_connections_count,sensitive_keywords_detected,email_external_count,auth_failed_count,new_ip_login,actions_seq,entropy_of_activity_timeline,risk_level
user_51,ba6010ef-732b-4dbb-aaec-df4e6ac956a8,2025-01-01 12:03:00,13.89,45,2,9,1,0,0,0,11,1,0,0,0,close open email close download open write write open close download close download email upload write close upload read open email read read download open open upload write download read email upload write close email download write download close close download close close write open,2.7334,1
user_90,4de7c18b-e166-4e5d-955e-a95dda5cdad8,2025-01-01 23:01:00,18.31,20,5,4,1,0,0,0,5,0,0,0,0,read read close open write download upload close upload write upload close close close close close download read open download,2.4261,1
user_16,55d70e76-7807-49cf-8225-45ccde71d527,2025-01-01 00:38:00,19.79,24,7,7,1,0,0,0,5,1,0,0,0,read write close close email upload open download download close upload write write write close write open close email upload read open close download,2.694,1
user_95,2f0de362-fbd5-4336-993c-419ed1b15d79,2025-01-01 19:18:00,8.25,14,6,5,2,0,0,0,14,0,0,0,0,upload write upload write download email read close email read email email download read,2.4677,1
user_54,82734bdd-7b23-413d-bef3-168c055d8a54,2025-01-01 11:27:00,8.14,21,2,9,0,0,0,0,9,0,0,0,0,write open email close write open email download write upload download upload close read write open email download close close email,2.7014,1
user_141,49453a1a-1a75-48a0-93cc-ca1bee4d5e9a,2025-01-01 15:49:00,14.74,25,1,6,0,0,0,0,5,0,0,0,0,open write upload write upload download open email close upload email close write write write download download open email open write write download read email,2.6276,1
user_6,74d29cc6-f6b8-4eef-a93a-5ae8b1516dad,2025-01-01 12:51:00,11.42,40,5,13,3,0,0,0,11,0,0,0,0,email read read close upload write upload write upload email upload email email read close email upload write write download email download upload upload open download write write upload open read write download write download write email download upload write,2.5992,1
user_75,0a2038d8-d8f5-43a1-ad15-8044665497ea,2025-01-01 08:04:00,10.58,24,9,7,1,0,0,0,13,1,0,0,0,upload open close write download close open download download close download email download read write open read upload read open write email read email,2.7569,1
user_58,001a0e11-59ae-40a0-b0a9-2f8e13114436,2025-01-01 10:33:00,11.1,26,5,5,1,0,0,0,14,0,0,0,0,upload read download email open write download read close email download email close read open read read email email read open read upload email email download,2.5444,1
user_26,ba72274f-5e9b-48e9-a7b4-c24ce2224724,2025-01-01 15:25:00,18.67,21,6,10,0,0,0,0,15,0,0,0,0,email write open email write upload email write read open email download download upload close read open close read read read,2.72,1
user_70,fe0d1f5b-4a62-4392-8dcb-33c6f6f4c5fd,2025-01-01 19:44:00,11.03,22,6,8,0,0,0,0,14,1,0,0,0,upload open close close close download email download email close open close upload write close upload read read write read download upload,2.6858,1
user_86,aae32466-c102-4091-b44f-7392518c5b7e,2025-01-01 05:51:00,9.15,31,7,13,4,0,0,0,3,1,0,0,0,email upload open email write close write close download write open close close write download download upload email download close email open download close close read upload open download close download,2.6185,1
user_144,47570b2c-4aa7-4df0-8847-2608be00ebf2,2025-01-01 08:08:00,21.87,33,1,8,0,0,0,0,20,0,0,0,0,download email close open email email upload upload close write download download download upload download upload close write write write open download email upload close open upload write open close open email open,2.579,1
user_18,8383fddf-1190-4aa2-bc08-1ddfe646fc68,2025-01-01 22:52:00,13.22,12,5,5,1,0,0,0,13,0,0,0,0,upload close close close email open close download write email download read,2.585,1
user_4,585e5e29-055d-4b8b-ade7-c26485ba6959,2025-01-01 05:04:00,11.09,17,4,3,1,0,0,0,19,1,0,0,0,close upload read email write open upload download open upload close email open upload download close close,2.6313,1
user_37,4a94bd57-e84f-40a0-aaa2-5b201c4de590,2025-01-01 07:45:00,14.3,30,7,13,1,0,0,0,17,0,0,0,0,open write write write upload write read close open write open close email write open download email read open upload open read write write write read close read read read,2.492,1
user_75,cb328e2e-1426-4574-bd30-01682a55114a,2025-01-01 23:49:00,11.66,36,5,9,0,0,0,0,4,0,0,0,0,upload download email read email read download close write upload upload download open download download upload email read email upload open read close email open email download email write read email read open read upload read,2.6416,1
user_19,d39ed338-2485-4a29-a7e4-2eff41e560ae,2025-01-01 03:04:00,19.56,29,12,8,1,0,0,0,24,2,0,0,0,write email download download email write upload upload open download upload download close open close email email open write close write upload write close write write email write close,2.514,1
user_148,1443f682-2c3e-45dd-a652-be53afce72d1,2025-01-01 22:38:00,13.62,25,3,7,1,0,0,0,10,1,0,0,0,read upload download upload open download write email close upload email open upload close open write download upload open download download close close write upload,2.6489,1
user_47,7f8e97e3-3a85-4019-97cc-f39f20d30fcc,2025-01-01 01:02:00,11.26,40,8,12,3,0,0,0,7,1,0,0,0,read read open download email close write close write open upload download read upload open email read read write email read write email email open open upload read email upload download email download email close open close write write read,2.7464,1
user_111,ee6940e7-34c3-4371-b3a1-cb4adb1f07b0,2025-01-01 23:04:00,25.88,13,8,6,2,0,0,0,10,1,0,0,0,open open upload close email upload read email open close open download open,2.3459,1
user_61,dfba98d9-cd54-4f00-86bb-3e5228bd6979,2025-01-01 00:51:00,13.71,38,6,8,0,0,0,0,13,0,0,0,0,download write download download download read open read read write open download write close email open upload open open close email write email read read upload write download email open download write close read upload write close open,2.7422,1
user_7,87453055-7339-4935-badd-83051cc36aa3,2025-01-01 16:46:00,11.52,33,7,10,2,0,0,0,7,1,0,0,0,write close open open close read upload close upload upload write write download download open close download open download upload write open open read write email upload close read read write write read,2.6811,1
user_117,0eb09526-a32c-4cc2-bd20-a15cad1cb983,2025-01-01 07:31:00,15.15,41,8,12,0,0,0,0,9,0,0,0,0,email read email read close write email download open write read open read read close open write read upload open download read write close close upload read write download email email read download read close read upload write write open upload,2.7104,1
user_116,c46eb8a7-c379-4e98-9ef5-c1d4582d5a7e,2025-01-01 10:02:00,17.56,40,5,16,1,0,0,0,18,0,0,0,0,write read upload write read email download close close read email upload close close download read read download close open read read open close open download read read email write close download read download write upload read read email close,2.621,1
user_30,c3ed4f8e-ce4c-445b-a5e2-da021440369a,2025-01-01 22:03:00,16.13,30,1,11,1,0,0,0,10,0,0,0,0,download email write read open read close upload email open open open upload write open open download email upload open read open close download close close close read read upload,2.6826,1
user_141,ab8ac7b1-0b7f-4e10-8bb4-e94f3073bdc3,2025-01-01 10:16:00,12.79,36,5,16,2,0,0,0,10,0,0,0,0,email open download close email upload upload close read email download upload write read upload upload open read upload write email download download download write write write open write close write write download download download open,2.6972,1
user_46,04dd2b64-c3c2-49de-b249-387c2db66fcc,2025-01-01 09:37:00,13.56,20,7,9,3,0,0,0,1,2,0,0,0,download download email open close read upload email open write read upload write write upload email download read write upload,2.7087,1
user_10,7f9916d0-bb21-4ecf-8518-2e51384bd35d,2025-01-01 03:20:00,16.3,16,2,6,1,0,0,0,19,1,0,0,0,download upload write download write download write email read open close write close download write read,2.5244,1
user_55,92d708b4-2e85-41d8-96f2-6abcc439a3ea,2025-01-01 08:25:00,15.87,41,6,9,0,0,0,0,8,0,0,0,0,email email open email close write read write download write write write upload upload download read download read email write upload upload open write email download read read write email upload close email download close read close upload write open read,2.7306,1
user_35,dd8d84ab-6239-480b-bc93-aa76edc58c20,2025-01-01 14:05:00,11.06,12,4,4,2,0,0,0,7,2,0,1,0,download read download write download write download write open close email open,2.3554,1
user_27,d31af7b0-2bbf-4f9e-ade4-7816b3ac50dc,2025-01-01 10:48:00,22.15,37,6,16,2,0,0,0,10,0,0,0,0,write close download email close read open email download read upload email upload write email upload download download upload open read read email open write close download download close upload upload email close read read email read,2.738,1
user_17,437867ea-353f-4954-9d12-ea1dc568c590,2025-01-01 12:57:00,16.54,18,3,6,0,0,0,0,12,1,0,0,0,download upload email download upload read close read open email close open close download download read write write,2.7527,1
user_41,ba54fbd0-4d16-46a7-b2e1-8d84cf3d65c4,2025-01-01 09:54:00,17.71,38,3,13,0,0,0,0,7,0,0,0,0,read close close open download close write email open download download upload email close open download write download read email email download read write open close email email email write write upload write upload close download write upload,2.7422,1
user_2,2be5d9ea-e7cc-459d-8278-b49f908193ed,2025-01-01 16:23:00,8.51,25,6,5,2,0,0,0,0,0,0,0,0,open close close close download upload upload open upload email open close open close write write close open close open email close upload upload email,2.3289,1
user_109,99e8cfd1-2fe4-4676-89a5-49ffeb1aaeb4,2025-01-01 22:00:00,19.47,35,2,7,1,0,0,0,16,0,0,0,0,read download close write open open open download write open read open write read upload download upload write download close write open open read upload upload close close download upload download email close email email,2.7651,1
user_73,0c418e4d-6ef5-4369-902e-9c81332e2674,2025-01-01 07:48:00,2.45,39,8,17,0,0,0,0,12,0,0,0,0,open upload write email close download read upload email open write upload write write read read upload download email upload read upload open read email write read download write close close close read write close read write read open,2.711,1
user_91,1acced1b-ab49-4174-9eda-554b77abc1ce,2025-01-01 17:55:00,11.69,26,8,7,0,0,0,0,11,0,0,0,0,email write download email open download upload close close download read download upload open download download close close close close open open upload upload close open,2.5169,1
user_61,779ef6ff-2f56-4f3a-b825-2aaea21a8d36,2025-01-01 17:41:00,25.77,37,4,12,1,0,0,0,10,0,0,0,0,read write read close close close download download close write open open read open read read open download write download email open email read close download read upload upload download write read download write close close read,2.6405,1
user_95,53cd416b-f6bc-4fee-be70-5df31acab1e7,2025-01-01 14:07:00,15.18,5,7,1,0,0,0,0,11,0,0,0,0,read close email upload download,2.3219,1
user_71,f4220370-c183-4d67-84a8-246a35bdfa8c,2025-01-01 16:12:00,18.19,45,3,19,4,0,0,0,7,2,0,0,0,open close read download read write read download email open read close open write download close close close close upload upload open close download write open write download upload open download open close download open close email read write upload email upload open download email,2.7388,1
user_46,88da303d-0af1-446e-aeb2-0d18d61b5f19,2025-01-01 17:59:00,23.63,6,4,2,1,0,0,0,5,2,0,0,0,close download email download download download,1.2516,1
user_65,892f6984-0e2d-4b74-9317-428d943f6d16,2025-01-01 01:22:00,11.98,32,4,14,0,0,0,0,17,0,0,0,0,download write email close email write close download email close upload write close read read read upload upload download upload download upload download email download write read read download download open read,2.6525,1
user_25,00a7c5f7-1168-4bcc-a72f-2091a1a25a66,2025-01-01 17:54:00,9.65,26,8,5,0,0,0,0,9,0,0,0,0,upload read close close close download email write close download upload write close email close download write write open read open read write email email read,2.7053,1
user_97,591d8936-071c-424e-879c-82ba76366f9e,2025-01-01 16:06:00,17.09,18,7,5,0,0,0,0,4,0,0,0,0,read read upload email download email close open write open read close download open close close close write,2.6633,1
user_49,2b96ee60-9145-40ff-b6dd-5c8efd950318,2025-01-01 01:25:00,16.05,30,4,10,0,0,0,0,16,0,0,0,0,write open write read email write write write read upload read close email write close upload download close open open write upload open email download download download email open close,2.7479,1
user_91,08ab535f-e6fa-478c-987f-8fc19b724f38,2025-01-01 16:50:00,13.4,36,4,11,1,0,0,0,0,0,0,0,0,read read close read close upload upload download open download close upload open open upload read read close open open close read open write write open email email download write read download open open read open,2.6259,1
user_146,ead8dbae-163a-492b-b6ae-0a701ef421e8,2025-01-01 06:12:00,16.03,35,5,12,3,0,0,0,13,0,0,0,0,download download read close read read write write download email download upload write email download close upload download write upload close download upload open write read upload write read download download open upload read read,2.6163,1
user_11,db4d1177-64d0-41d5-aa4f-20cbfe6fdfa0,2025-01-01 19:39:00,19.15,25,11,9,4,0,0,0,11,1,0,1,0,upload read write write read read upload upload write email email upload write read email close write upload write close email open email open write,2.449,1
user_2,461d36b9-ea3d-4c03-a093-2cd5eda9bfe7,2025-01-01 10:00:00,18.01,25,1,11,1,0,0,0,7,1,0,0,0,read write write email write read download download close open email email download upload open upload read read close write close read open upload write,2.7641,1
user_105,23633649-09d5-481f-b6e3-d76c0936256c,2025-01-01 06:33:00,17.76,18,4,7,4,0,0,0,8,1,0,0,0,email open download upload upload upload open email open open email open email write read email open write,2.288,1
user_61,8f0cef2b-d815-420b-be66-22641d77ec4c,2025-01-01 15:59:00,10.52,45,2,20,0,0,0,0,6,0,0,0,0,upload download open upload close upload write download email download close write upload upload write write email write download open write open download write open write upload email email open open email email download read download email write close write download write open read read,2.6835,1
user_122,79e6c486-436c-486a-ba9b-a92bc3d08652,2025-01-01 02:43:00,17.87,44,8,16,2,0,0,0,11,0,0,0,0,write upload download write open email open read email open read upload write download open read read write read download write write email upload upload email email close download email close close download open read upload read upload write read close email upload write,2.7657,1
user_72,015dcf3e-3978-420c-8082-acf8ff76b1bd,2025-01-01 20:14:00,17.04,18,9,5,2,0,0,0,15,0,0,0,0,download email close read email download upload download upload download write read close open close open open close,2.6835,1
user_93,6cf12084-7235-4e1d-b4d3-73bc62c79feb,2025-01-01 09:02:00,9.43,28,6,10,1,0,0,0,10,0,0,0,0,download download download download open email upload upload open email write email open read close email close email upload download email read download download close read close read,2.6405,1
user_56,9868bd9d-5330-4fd8-a2f5-d88841a10834,2025-01-01 01:36:00,21.8,36,1,10,3,0,0,0,13,2,0,1,0,download read read close open write read open close read upload email email upload read upload read open read upload close download email email close upload upload write email close download email open open email write,2.7382,1
user_74,e234c73b-d5e1-42e6-a52b-aa6f734cc453,2025-01-01 19:36:00,14.61,36,9,11,1,0,0,0,11,1,0,0,0,upload email close download open write close download read read open email email write write download upload email upload email download close close open close upload upload read close download read close email open email email,2.7359,1
user_127,1d7d3482-80bc-42b7-b343-dd17f1db28a8,2025-01-01 20:07:00,15.0,19,6,5,1,0,0,0,8,0,0,0,0,close read download open email download open close upload open write open email email write open email read open,2.5895,1
user_100,ea616d99-f865-4eaf-9521-9ccaeea11f1a,2025-01-01 10:58:00,22.14,25,1,8,2,0,0,0,5,0,0,0,0,download open download close open close email upload upload open close upload close read email write open write read read write read write open open,2.7133,1
user_47,3c23d8ed-7948-4ef8-a8ca-58103b8f0985,2025-01-01 11:50:00,21.31,27,6,12,0,0,0,0,13,0,0,0,0,close write download open close download email open download upload upload email write open close write upload upload email close download read upload write download write download,2.672,1
user_52,286a126d-b78d-4d79-9e53-79291499deb0,2025-01-01 09:06:00,9.61,37,7,16,1,0,0,0,4,0,0,0,0,close download read email upload close download write email close download close email read upload open open upload download upload download upload download write close email open open write upload write open download upload write download close,2.7127,1
user_9,c8bb4f38-e321-4950-881a-bd6ec4d3a0c0,2025-01-01 15:03:00,13.54,35,2,7,0,0,0,0,9,0,0,0,0,write download read read upload write email email close email write download close download email write open open open download write read read email close write close close download download read download upload download download,2.6829,1
user_23,c74d407e-6fdb-4d09-a0b3-c890cea03837,2025-01-01 01:24:00,16.07,27,4,7,3,0,0,0,6,0,0,0,0,email upload close write read close download download upload write close write write upload write upload read read email download write upload upload open write email upload,2.5948,1
user_20,4877a114-3fde-4ae0-a8da-3d03026ddf99,2025-01-01 05:33:00,16.54,32,5,11,3,0,0,0,11,1,0,0,0,upload write write email open upload upload close open download download open read read close write write close upload open download close write close open close upload download open download open write,2.6284,1
user_71,c2070d54-c29c-4305-982f-8d087bd55fd7,2025-01-01 02:23:00,19.12,20,10,5,3,0,0,0,7,0,0,0,0,download email email write upload write upload read read write download upload email download email read close upload upload close,2.5282,1
user_113,708e04ef-d0a1-4101-b6ff-a82ccb7f36b2,2025-01-01 19:37:00,16.74,18,5,8,1,0,0,0,8,1,0,0,0,open close upload download close upload download upload upload write read upload download open upload email download upload,2.4115,1
user_58,1ac27bac-f7c7-4f6a-8c01-a58ff9a7f9af,2025-01-01 10:23:00,10.42,48,4,13,2,0,0,0,12,0,0,0,0,read close close write read upload write email email read open upload email upload open close write email write close email email upload open close close read email write open email write upload close upload close email upload upload open upload read upload close open close download email,2.6206,1
user_55,83cc7605-46c7-43dd-ae5f-163777e2a495,2025-01-01 21:02:00,12.56,29,10,14,0,0,0,0,7,0,0,0,0,read download email download upload download download email email email close open open download read read upload download close close open open read open close upload read open read,2.5378,1
user_38,2df1de6b-2edd-4bbe-9f78-79060c5af1a4,2025-01-01 17:09:00,10.2,25,9,10,0,0,0,0,6,0,0,0,0,download close close download download email read read email upload write write download read read write open close download download email upload close open email,2.7133,1
user_127,0b55c736-dd67-4f2e-83e2-f0e716e0f13e,2025-01-01 01:57:00,20.07,47,4,14,3,0,0,0,0,1,0,0,0,close read download email open close download read download write close download close upload read close upload email read open write email upload download close download close upload write download read email read email write open open upload email upload open close close email upload read email,2.7654,1
user_146,d0e38610-9ba4-42c7-90a8-5ec6438b8939,2025-01-01 08:24:00,16.83,10,9,3,2,0,0,0,16,1,0,0,0,write write open upload read download open read read read,2.1219,1
user_62,5fe2d356-ed26-4337-823f-cca60b7c9e21,2025-01-01 05:08:00,7.55,34,6,11,3,0,0,0,9,2,0,1,0,open email open upload open close open open open email open upload upload read read email download open read read download close email download email download upload email upload upload read upload open close,2.4976,1
user_7,2855e532-4b8d-4312-853e-e101c69f997e,2025-01-01 20:40:00,17.46,37,8,18,0,0,0,0,14,0,0,0,0,upload open upload download write open write close email email close open open email email close write email write write upload write close upload read open email upload write upload close close upload open close read read,2.6492,1
user_42,3e21a76b-7d39-4ed3-b6b2-f0196b8a1886,2025-01-01 18:08:00,15.9,32,2,6,1,0,0,0,4,0,0,0,0,write close email download open email write close write upload open write download email close email open close open email close close read open close read close close close close download email,2.5022,1
user_112,84fb6689-c6a5-4738-991a-28456f7970fe,2025-01-01 06:15:00,13.8,34,5,10,4,0,0,0,4,1,0,0,0,open close email close open email read read read email download close download download write open upload download open open download read download email download close email read upload close email open close email,2.6189,1
user_118,bc24e554-5399-48a5-b6ac-269771ca66e1,2025-01-01 00:29:00,21.31,25,8,7,2,0,0,0,1,1,0,0,0,read read write email email write download read download close close read read close upload upload read read upload upload read upload open write upload,2.5231,1
user_79,7cc2d1f3-4e5a-4044-93f6-7fef93183d9f,2025-01-01 23:41:00,19.94,32,1,8,0,0,0,0,6,0,0,0,0,close close write upload close close email open open upload write read read download upload upload write open write write close read close open write write write upload read open open read,2.555,1
user_32,ac6d7af4-e494-46e9-96aa-7e6fab34c9e1,2025-01-01 09:53:00,25.13,29,4,14,3,0,0,0,18,2,0,0,0,email upload download read upload download close read write email read close read open write close open write open open close write upload download read upload read download close,2.7504,1
user_15,e7b29ebf-af29-407d-a7e0-300dd956c0a6,2025-01-01 04:14:00,26.38,36,2,9,0,0,0,0,14,0,0,0,0,download read read open write email write write write upload close upload read email close open close write write download download open email close read upload download open read open close close read close open read,2.7301,1
user_126,002f074a-72ad-45a5-a9ea-79b4590062dd,2025-01-01 12:03:00,9.88,10,2,3,1,0,0,0,19,0,0,0,0,open write close upload write upload download email open email,2.5219,1
user_142,41b55da7-1554-4942-a795-b6d6e43fb410,2025-01-01 15:13:00,10.23,33,3,11,0,0,0,0,10,0,0,0,0,open read email open download read open open download download close write download email open open upload download download write close download write email download close email open open upload write write write,2.6121,1
user_52,953dc03d-a9a6-4ed4-ab0f-2cc6d25df82f,2025-01-01 00:34:00,11.24,51,2,21,1,0,0,0,9,0,0,0,0,read email read upload upload close download write close write upload open email email open email upload upload download close open close close upload download close write download close close download email download open download read email download upload email write write email upload close email open upload upload read close,2.7276,1
user_116,ad3aa531-88ce-4efd-9841-59f01e3229f5,2025-01-01 08:36:00,17.01,39,7,10,1,0,0,0,12,0,0,0,0,open read close email write open upload open read close open upload open open read open download close read download upload close read open download download read open upload write open read open close open close download download read,2.5152,1
user_59,40aa02f5-6c9b-45ec-8d57-e1391e031a29,2025-01-01 12:32:00,20.16,38,10,17,0,0,0,0,11,0,0,0,0,email email close download write open open download write download write read download write read download open download read write upload download read write open download upload open open read close read write upload open close write close,2.6712,1
user_73,c2b0c109-3505-4776-b341-f1fcde7ac3dd,2025-01-01 13:19:00,10.6,13,7,2,0,0,0,0,10,0,0,0,0,download read email write open read open read email upload email read write,2.4116,1
user_110,e78f2a7a-b10a-43a2-b370-e9a59ce69c80,2025-01-01 13:17:00,18.64,25,8,10,1,0,0,0,2,0,0,0,0,write download read close download write open upload email read close close read download email close upload read download download read download download open download,2.5795,1
user_116,d842978c-b14f-4526-8b7c-9dac3447796e,2025-01-01 15:17:00,12.38,41,8,10,3,0,0,0,6,0,0,0,0,open open email close write write download upload download write read upload open upload download write email close read open download open close download email read email upload read upload write upload email write upload write upload email close download write,2.7568,1
user_150,64fbd219-76ae-47b8-a480-02f4bdbfc4a6,2025-01-01 02:46:00,15.09,22,6,4,2,0,0,0,8,0,0,0,0,close upload download open close close email open read download download email close email download close upload download download open read write,2.6127,1
user_36,06b0ac0b-83b2-40af-897a-865c8bccefdb,2025-01-01 14:30:00,21.77,18,8,6,0,0,0,0,8,0,0,0,0,email read close open download email upload email write email upload download open close read close email email,2.5997,1
user_78,866afc73-28d3-43d4-b6d0-134cf171dc84,2025-01-01 12:40:00,14.99,18,5,4,1,0,0,0,0,0,0,0,0,upload email email download email write write read upload email read download write write email email download download,2.1972,1
user_91,14146c72-06f8-4b64-b281-3893b7e375dd,2025-01-01 23:52:00,12.04,45,12,13,0,0,0,0,10,0,0,0,0,upload upload read read close upload open read upload email close email open open read open download open email upload write open open email close close upload write close open read email open write read read read email upload close email download read open write,2.6794,1
user_77,431170f9-95fd-4fb5-b414-1ef0c0680b30,2025-01-01 17:19:00,20.55,31,7,13,0,0,0,0,16,0,0,0,0,close open download email email read open email download download download upload open download email write download close read upload email email upload close close email download email upload write close,2.6311,1
user_47,314b2dc9-3dc4-42df-9482-dff74a14160f,2025-01-01 17:32:00,1.0,15,7,7,3,0,0,0,13,2,0,1,0,close upload download write write open open download close close read upload email upload read,2.7396,1
user_50,2b971eb6-3cad-49cb-a5d1-556aa914651d,2025-01-01 03:52:00,14.51,17,5,5,0,0,0,0,3,0,0,0,0,upload email upload open close read email close write write open email read close email email download,2.6543,1
user_43,f14cd76c-2043-4537-b8be-6a3f24dbc577,2025-01-01 03:44:00,12.15,43,9,11,0,0,0,0,16,0,0,0,0,upload email email write read read open read email open download open close download read write upload email read open upload write read close write read close close download read download download upload write upload read download write email close open email write,2.7744,1
user_115,54b856ff-ab97-4041-8d6c-10dd1cd15a5b,2025-01-01 03:37:00,21.21,33,1,12,0,0,0,0,8,0,0,0,0,open download upload upload close email read open download download write close write upload read email email close upload upload upload write close upload email upload open read download read open download email,2.7421,1
user_63,a3221775-08f9-4945-bfae-a6b239eb3bec,2025-01-01 13:32:00,12.28,14,10,5,3,0,0,0,16,1,0,1,0,download upload download open read write open write close email close close open close,2.6106,1
user_12,001df0ea-11f6-414d-99f7-d0253ea75258,2025-01-01 14:04:00,18.2,35,9,7,1,0,0,0,5,1,0,0,0,close read write open close email write open write download read close upload upload download close open email upload read email open email write email download email upload email download open read close open open,2.7604,1
user_9,c0549ef1-6384-448a-a54d-ace2d701fdd5,2025-01-01 03:40:00,9.4,28,6,13,1,0,0,0,2,0,0,0,0,upload close download read close write read write read open upload open email open download open write open upload email email open close close read download email open,2.7389,1
user_90,c8afcdd1-a465-45cf-970f-f72ca3c500fe,2025-01-01 12:16:00,14.94,32,9,9,2,0,0,0,18,1,0,0,0,download close open upload download read close upload download upload upload write upload download download upload upload email close email open read open open email upload close email read close read write,2.7119,1
user_7,ffaa8a4a-1226-4138-98c5-ee998d5cbc84,2025-01-01 00:03:00,10.15,29,9,7,2,0,0,0,10,0,0,0,0,open close open open download download read read close read open upload download upload open close open write upload close read open open write write write write email write,2.6159,1
user_99,8daa60ea-a3ac-4c6a-85c1-f480d198e9be,2025-01-01 07:24:00,8.94,23,2,7,0,0,0,0,16,0,0,0,0,email download read upload open write open read upload download close email download download download email close download read write email write open,2.7073,1
user_103,efd64e6c-e2a7-4136-8759-e1ee2133962f,2025-01-01 06:59:00,13.24,45,6,17,2,0,0,0,15,1,0,0,0,upload open close read upload email upload close read email download write download download download write write open write write read open upload write open upload upload write upload upload read open open close upload read read write write open open email upload upload open,2.6445,1
user_121,a16b3af2-8a4b-457a-9ade-0eba7efbe9dd,2025-01-01 16:26:00,21.66,34,5,15,1,0,0,0,10,1,0,0,0,download download read close write download open open open write upload write email close open write write open write read open read write close email close read open read email upload close write read,2.6674,1
user_55,ddf4ff5a-6afc-4b64-b28d-a9d93bd3e0aa,2025-01-01 04:50:00,13.06,25,8,9,1,0,0,0,4,0,0,0,0,open open download email download write write write close upload download download email close download write download download open email download download download upload upload,2.3445,1
user_38,0f11d8b7-c849-4a2f-993e-9713053329c6,2025-01-01 10:33:00,16.09,28,5,10,2,0,0,0,0,0,0,0,0,download upload close read download read read upload close upload read download read close close read open read close download write close close download email download close read,2.3693,1
user_39,32a39b05-064f-4de2-9a01-c39dd871a6b0,2025-01-01 18:06:00,17.5,30,2,7,4,0,0,0,19,1,0,0,0,close write open download open download close write read download close download write close upload close close download download open close open read download read close upload close open write,2.422,1
